ID,Nama Laptop,Seri ,Processor,Graphic Card,Storage ,RAM,OS,Harga,Port ,Image,category(nama brand),Panel layar,Refresh rate,Heavy
115,Acer Nitro 5 Core i5 RTX 3050,AN5155855E6,Intel Core i5 12500H,NVIDIA GeForce RTX 3050,512 GB ,8 GB ,Windows 11,"Rp13.499.000,00","3x USB 3.2 Gen 2, Thunderbolt 4 USBC, HDMI, Audio Jack 3.5, LAN Port",Nitro 7,Acer,"15.6"" FHD LED IPS",144Hz,2.24kg
116,Acer Nitro 5 Core i7 RTX 3050,AN5155859X8,Intel Core i7 12500H,NVIDIA GeForce RTX 3050,512 GB ,16 GB,Windows 11,"Rp16.399.000,00","3x USB 3.2 Gen 2, Thunderbolt 4 USBC, HDMI, Audio Jack 3.5, LAN Port",Nitro 8,Acer,"15.6"" FHD LED IPS",144Hz,2.3kg
117,Acer Nitro 5 R7 RTX 3050,AN51546R8YC,AMD Ryzen 7 6800H,NVIDIA GeForce RTX 3050,512 GB ,16 GB,Windows 11,"Rp16.499.000,00","3x USB 3.2 Gen 2, Thunderbolt 4 USBC, HDMI, Audio Jack 3.5, LAN Port",Nitro 9,Acer,"15.6"" FHD IPS",144Hz,2.3kg
118,Acer Nitro 5 Core i7 RTX4050,AN51558710Q,Intel Core i7 12650H,NVIDIA GeForce RTX 4050,512 GB ,16 GB,Windows 11,"Rp16.999.000,00","3x USB 3.2 Gen 2, Thunderbolt 4 USBC, HDMI, Audio Jack 3.5, LAN Port",Nitro 10,Acer,"15.6"" FHD LED IPS",165Hz,2.5kg
119,Acer Nitro 5 Core i7 RTX3050Ti,AN5155876GJ,Intel Core i7 12700H,NVIDIA GeForce RTX 3050Ti,512 GB ,16 GB,Windows 11,"Rp17.399.000,00","3x USB 3.2 Gen 2, Thunderbolt 4 USBC, HDMI, Audio Jack 3.5, LAN Port",Nitro 11,Acer,"15.6"" FHD LED IPS",144Hz,2.3kg
120,Acer Nitro 5 R7 RTX3060,AN51546R8PD,AMD Ryzen 7 6800H,Nvidia RTX 3060,512 GB ,16 GB,Windows 11,"Rp18.499.000,00","3x USB 3.2 Gen 2, Thunderbolt 4 USBC, HDMI, Audio Jack 3.5, LAN Port",Nitro 12,Acer,"15.6"" FHD LED IPS",165Hz,2.3kg
121,Acer Predator Helios Neo 16 Core i5,PHN167151TN,Intel Core i5 13450HX,NVIDIA GeForce RTX 4050 ,512 GB ,8 GB ,Windows 11,"Rp16.999.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Predator 1,Acer,"16"" WUXGA",165Hz,2.5kg
122,Acer Predator Helios 300 ,PH3155575GP,Intel Core i7 12700H,NVIDIA GeForce RTX 3070Ti,512 GB ,16 GB,Windows 11,"Rp28.999.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Predator 2,Acer,"15.6"" QHD LED IPS",165Hz,2.5kg
123,Acer Predator Triton Neo 16 Core Ultra 7,PTN165171L8,Intel Core Ultra 7 155H,NVIDIA GeForce RTX 4060,1 TB ,32GB,Windows 11,"Rp28.999.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Predator 3,Acer,"16"" WQXGA",240Hz,2.3kg
124,Acer Predator Helios 300 SpatialLabs,PH31555s93XP,Intel Core i9 12900H,NVIDIA GeForce RTX 3080,1 TB ,32GB,Windows 11,"Rp54.999.000,00","3x USB 3.2 Gen 2, Thunderbolt 4 USBC, HDMI, Audio Jack 3.5, LAN Port",Predator 4,Acer,"15.6"" UHD LED IPS",240Hz,2.24kg
125,Acer Predator Helios 18,PH187199RG,Intel Core i9 13900HX,NVIDIA GeForce RTX 4080,1 TB ,32GB,Windows 11,"Rp59.999.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Predator 5,Acer,"18"" WQXGA 500nits",240Hz,2.5kg
126,Acer Triton 500SE,PT51652s,Intel Core i9 12900H,NVIDIA GeForce RTX 3080Ti,2 TB ,32GB,Windows 11,"Rp64.999.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Predator 6,Acer,16” WQXGA IPS,240Hz,2.8kg
127,Acer Predator Triton 300s,PT31452s78YY,Intel Core i7 12700H,NVIDIA GeForce RTX 3060,1 TB ,16 GB,Windows 11,"Rp23.749.000,00","USBA 3.2 Gen 1,USBC 3.2 Gen 2,Ethernet (RJ45)",Predator 7,Acer,"14"" WQXGA165Hz, 100% DCI-P3",165Hz,2.5kg
128,Acer Predator Helios 300 11th Gen,PH3154,Intel Core i7 11800H,NVIDIA GeForce RTX 3070,512 GB ,16 GB,Windows 11,"Rp25.999.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Predator 8,Acer,"15.6"" QHD LED IPS",165Hz,2.3kg
129,Acer Predator Helios 16,PH167199ZW,Intel Core i9 13900HX,NVIDIA GeForce RTX 4070,1 TB ,16 GB,Windows 11,"Rp37.999.000,00","1x USB 3.2 Gen 2 TypeC support display , power delivery 1x USB 3.2 Gen 2 TypeC 2x USB 3.2 Gen 1 TypeA 1x 2.5G LAN port",Predator 9,Acer,"16"" WQXGA",240Hz,2.8kg
130,HP 14S-DQ4016TU,745J5PA,Intel Core i5 1155G7,Intel Iris Xe Graphics,512 GB ,8 GB ,Windows 11,"Rp8.499.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Essentials 1,HP,"(14"") diagonal, FHD (1920 x 1080), IPS",60Hz,1.46kg
131,HP 14S-DQ5118TU,8T481PA,Intel Core i5 1235U,Intel Iris Xe Graphics,512 GB ,8 GB ,Windows 11,"Rp8.799.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate",Essentials 2,HP,"(14"") diagonal, FHD (1920 x 1080), micro-edge",60Hz,1.46kg
132,HP 240 G9 NOTEBOOK,9J1W4PT,Intel Core i3 1215U,Intel Iris Xe Graphics,256 GB ,8 GB ,Windows 11,"Rp6.670.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate; ",Essentials 3,HP,"(14"") diagonal, HD (1366 x 768), narrow bezel, anti-glare, 250 nits",60Hz,1.47kg
133,HP 15S-FQ5148TU,8U215PA,Intel Core i3 1215U,Intel UHD Graphics,512 GB ,4 GB,Windows 11,"Rp6.599.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate;",Essentials 4,HP,"(15.6"") diagonal, FHD (1920 x 1080),anti-glare, 250 nits",60Hz,1.69kg
134,HP 15S-EQ2088AU,960S7PA,AMD Ryzen 3 5300U,AMD Radeon Graphics,512 GB ,8 GB ,Windows 11,"Rp5.999.000,00","1 USB Type-C 5Gbps signaling rate,2 USB Type-A 5Gbps signaling rate;",Essentials 5,HP,"(15.6"") diagonal, FHD (1920 x 1080), micro-edge",60Hz,1.69kg
